controller,scenario,n,success_rate,collision_rate,mean_steps,mean_path_length,mean_min_clearance,mean_near_misses,mean_overrides,mean_adaptation_lag,mean_progress
fixed_policy,deceptive_u_trap,8,1.0,0.0,45.125,14.440000000000005,0.41071068317510157,0.625,0.0,8.0,0.23550979231996375
fixed_policy,dense_maze,8,0.0,1.0,32.75,10.480000000000002,-0.07913668977693397,8.75,0.0,8.0,0.20194004223013984
fixed_policy,sensor_shadow,8,0.0,1.0,33.875,10.840000000000003,-0.04910800948409858,7.5,0.0,8.0,0.17263161686962214
fixed_policy,zigzag_corridor,8,0.0,1.0,36.125,11.560000000000004,-0.11112105788701371,7.125,0.0,8.0,0.15797536584010785
liquid_online,deceptive_u_trap,8,0.75,0.25,51.25,16.400000000000006,0.17806356711750648,2.375,0.0,8.0,0.20543399204890372
liquid_online,dense_maze,8,0.25,0.75,30.375,9.720000000000002,-0.026653397489121308,10.75,0.0,8.0,0.2165433978308291
liquid_online,sensor_shadow,8,0.0,1.0,28.375,9.080000000000002,-0.07796195296302369,4.75,0.0,22.0,0.17095853990109922
liquid_online,zigzag_corridor,8,0.125,0.875,43.25,13.840000000000005,-0.03307000703688788,8.875,0.0,8.0,0.16216104731154768
liquid_supervisor,deceptive_u_trap,8,1.0,0.0,37.375,11.960000000000004,0.3806728572050747,0.0,10.625,8.0,0.28558573504356394
liquid_supervisor,dense_maze,8,1.0,0.0,46.125,14.760000000000007,0.24625931286553027,3.375,18.875,8.0,0.23223095179526326
liquid_supervisor,sensor_shadow,8,1.0,0.0,48.75,15.600000000000009,0.22732000758342802,6.125,25.625,8.0,0.2219555196978058
liquid_supervisor,zigzag_corridor,8,1.0,0.0,59.125,18.920000000000012,0.17008091941899267,5.0,39.75,8.0,0.18432384543646335
